Название заведения;Ссылка на заведение;Инофрмация о заведение;Лого заведения
Забыли сахар;https://www.restoclub.ru/spb/place/zabyli-sahar-7;Ресторан от одноименной сети кондитерских на набережной Адмирала Лазарева;https://img.restoclub.ru/uploads/place/9/4/a/d/94adaf24fa57089ded5bde5e26ed04cc_w364_h240.webp
Faces Cafe;https://www.restoclub.ru/spb/place/faces-cafe;Кафе от основателя пекарен «Цех 85» на Морском проспекте;https://img.restoclub.ru/uploads/place/6/5/e/9/65e90e7d511a78f0e7f4c59d4a07bad5_w364_h240.webp
MAD;https://www.restoclub.ru/spb/place/mad-asian-bbq;Ресторан азиатской кухни от известных шеф-поваров на Пионерской улице;https://img.restoclub.ru/uploads/place/5/3/a/5/53a5565ebb8b669ae753ace2a2cdcc22_w364_h240.webp
Пышки вприпрыжку;https://www.restoclub.ru/spb/place/pyshki-vpripryzhku;Пышечная с небанальной концепцией на 1-ой Советской;https://img.restoclub.ru/uploads/place/a/1/7/3/a173053de51ba4c1676e8795515e8f5f_w364_h240.webp
Win-Win Bar;https://www.restoclub.ru/spb/place/win-win-bar;Бар со специализацией на вине и коктейлях с шикарным видом на Казанский собор;https://img.restoclub.ru/uploads/place/f/3/f/a/f3fa7f4b5a67c870cfe50224a47df296_w364_h240.webp
Royal Neva;https://www.restoclub.ru/spb/place/royal-neva;Караоке-клуб на Конюшенной площади;https://img.restoclub.ru/uploads/place/8/f/f/2/8ff27d32c15906ff0e490aef5dfef83c_w364_h240.webp
La Piada;https://www.restoclub.ru/spb/place/la-piada;Итальянский ресторан напротив Юсуповского сада;https://img.restoclub.ru/uploads/place/1/a/f/2/1af243e28b2dea8f75ec51bb8da8dfc1_w364_h240.webp
Meat Coin Country Club;https://www.restoclub.ru/spb/place/meat-coin-2;Большой мясной ресторан на первой береговой линии в Комарово;https://img.restoclub.ru/uploads/place/6/a/3/6/6a3604277075630dbbf253d95b9aa4e9_w364_h240.webp
Askaneli Georgian Bistro;https://www.restoclub.ru/spb/place/askaneli-bistro;Бистро грузинской кухни на Итальянской;https://img.restoclub.ru/uploads/place/4/d/b/f/4dbf88fe2481f7c3f4a68f05a8516f7d_w364_h240.webp
Веранда;https://www.restoclub.ru/spb/place/veranda-18;Просторный ресторан с открытой террасой и собственной зеленой территорией на проспекте Маршала Блюхера;https://img.restoclub.ru/uploads/place/b/1/f/2/b1f25da71d562bd42a2e724d0590fcbf_w364_h240.webp
Mamahuhu;https://www.restoclub.ru/spb/place/mamahuhu;Небольшой китайский ресторан от создателя «Прошуттерии»;https://img.restoclub.ru/uploads/place/d/3/a/c/d3ac936976518d2b7a072b02cfed65ce_w364_h240.webp
Mio;https://www.restoclub.ru/spb/place/mio-2;Стильный итальянский бистро-бар на Казанской улице;https://img.restoclub.ru/uploads/place/5/6/d/e/56de69dd23c8ad2f406c05a898a770ba_w364_h240.webp
Roma Antica;https://www.restoclub.ru/spb/place/roma-antica;Итальянское кафе на Чайковского, где за кухню отвечает шеф-повар сети «Мама Рома»;https://img.restoclub.ru/uploads/place/f/5/0/1/f50164419ce50cf675b31dfb748cd5d2_w364_h240.webp
Нежно;https://www.restoclub.ru/spb/place/nezhno;Камерная кофейня и цветочный бутик на улице Большая Зеленина.;https://img.restoclub.ru/uploads/place/5/c/a/3/5ca3cc408abc07008926519027c1427f_w364_h240.webp
Osh;https://www.restoclub.ru/spb/place/osh;Стильный минималистичный корнер узбекской кухни в фуд-холле «Балаган»;https://img.restoclub.ru/uploads/place/c/d/c/6/cdc642b0dc3c5605547cec539a60d898_w364_h240.webp
